libdvdnav 7.0.0-1
libdvdread 7.1.1-1
libdwarf 1:2.3.2-1
libe-book 0.1.4-1
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.196-1
libepoxy 1.5.10-3
libepubgen 0.1.1-6
libetonyek 0.1.13-2
libevdev 1.13.7-1
libevent 2.1.13-2
libexif 0.6.26-1
libexsid 2.1-1
libexttextcat 3.4.8-1
libfakekey 0.3-4
libfdk-aac 2.0.3-2
libffi 3.8.0-1
libfontenc 1.1.9-1
libfprint 1.94.100-1
libfreeaptx 0.2.2-1
libfreehand 0.1.3-1
libfyaml 0.9.6-3
libgcc 16.2.1+r23+gd564253eb6c8-1
libgcrypt 1.12.2-1
libgfortran 16.2.1+r23+gd564253eb6c8-1
libgit2 1:1.9.7-1
libglvnd 1.7.0-3
libgme 0.6.5-1
libgomp 16.2.1+r23+gd564253eb6c8-1
libgpg-error 1.61-1
libgsf 1.14.58-1
libgudev 238-3
libgusb 0.4.9-2
libgxps 0.3.2-5
libhwasan 16.2.1+r23+gd564253eb6c8-1
libice 1.1.2-1
libid3tag 0.16.4-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimagequant 4.4.1-2
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.31.3-1
libiptcdata 1.0.5-5
libisl 0.28-1
libixion 0.20.0-8
libjpeg-turbo 3.2.0-2
libjxl 0.12.0-1
libksba 1.8.0-1
liblangtag 0.6.8-1
liblc3 1.1.3-2
libldac 2.0.2.6-1
libldap 2.6.13-1
liblsan 16.2.1+r23+gd564253eb6c8-1
libluv 1.52.1-1
libmad 0.15.1b-10
libmakepkg-dropins 20-2
libmbim 1.34.0-1
libmd 1.2.0-1
libmfx 23.2.2-6
libmikmod 3.3.13-1
libmm-glib 1.24.2-1
libmms 0.6.4-6
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmpcdec 1:0.1+r475-6
libmpdclient 2.27-1
libmspub 0.1.5-1
libmwaw 0.3.23-1
libmysofa 1.3.5-1
libnautilus-extension 50.2.2-1
libndp 1.9-1
libnetfilter_conntrack 1.1.1-1
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.1-1
libnghttp2 1.70.0-1
libnghttp3 1.18.0-1
libngtcp2 1.25.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.58.1-1
libnotify 0.8.8-1
libnsl 2.0.1-2
libnss_nis 3.4-1
libnumbertext 1.0.11-3
libnvme 1.16.2-2
libobjc 16.2.1+r23+gd564253eb6c8-1
libodfgen 0.1.8-5
libogg 1.3.6-1
libopenmpt 0.8.8-1
liborcus 0.21.0-7
libosinfo 1.12.0-3
libp11-kit 0.26.5-1
libpagemaker 0.0.4-5
libpcap 1.10.6-1
libpciaccess 0.19-1
libpgm 5.3.128-4
libpipeline 1.5.8-1
libpipewire 1:1.6.8-1
libplacebo 7.360.1-6
libplist 2.7.0-3
libpng 1.6.58-2
libportal 0.10.0-1
libportal-gtk4 0.10.0-1
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libqmi 1.38.0-1
libqrtr-glib 1.4.0-1
libquadmath 16.2.1+r23+gd564253eb6c8-1
libqxp 0.0.3-1
libraqm 0.11.0-1
libraw1394 2.1.2-4
libreoffice-fresh 26.2.5-3
libresidfp 1.2.1-1
librevenge 0.0.6-1
librsvg 2:2.62.3-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libsidplayfp 3.1.0-1
libsigc++ 2.12.2-1
libsigc++-3.0 3.8.1-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsoup3 3.6.6-2
libsoxr 0.1.3-5
libspiro 1:20240903-1
libssh 0.12.2-1
libssh2 1.11.1-7
